"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7936","Submit form without first name / TX-TC-2","","Mon Apr 28 15:51:42 UTC 2025","passed","Mon Apr 28 15:51:50 UTC 2025","","Contact Us page tests","",""
"","5121","Submit form without email / TX-TC-4","","Mon Apr 28 15:51:56 UTC 2025","passed","Mon Apr 28 15:52:01 UTC 2025","","Contact Us page tests","",""
"","4839","Submit form with empty fields / TX-TC-1","","Mon Apr 28 15:51:37 UTC 2025","passed","Mon Apr 28 15:51:42 UTC 2025","","Contact Us page tests","",""
"","5666","Submitting pricing form without email name input / TX-TC-16","","Mon Apr 28 15:51:55 UTC 2025","passed","Mon Apr 28 15:52:00 UTC 2025","","Messaging pricing form test","",""
"","6809","Submitting pricing form without last name input / TX-TC-15","","Mon Apr 28 15:51:48 UTC 2025","passed","Mon Apr 28 15:51:55 UTC 2025","","Messaging pricing form test","",""
"","5682","Submit form without last name / TX-TC-3","","Mon Apr 28 15:51:50 UTC 2025","passed","Mon Apr 28 15:51:56 UTC 2025","","Contact Us page tests","",""
"","14222","Redirect on Facebook link in footer TX-TC-20","","Mon Apr 28 15:51:56 UTC 2025","passed","Mon Apr 28 15:52:10 UTC 2025","","Test social links","",""
"","0","Submit form without budget / TX-TC-10","","Mon Apr 28 15:52:24 UTC 2025","broken","Mon Apr 28 15:52:24 UTC 2025","","Contact Us page tests","",""
"","18368","Redirect on Linkedin link in footer TX-TC-19","","Mon Apr 28 15:51:37 UTC 2025","passed","Mon Apr 28 15:51:56 UTC 2025","","Test social links","",""
"","5331","Submit form without request description / TX-TC-7","","Mon Apr 28 15:52:12 UTC 2025","passed","Mon Apr 28 15:52:17 UTC 2025","","Contact Us page tests","",""
"","6186","Submitting pricing form with invalid email name input / TX-TC-17","","Mon Apr 28 15:52:00 UTC 2025","passed","Mon Apr 28 15:52:06 UTC 2025","","Messaging pricing form test","",""
"","12183","Redirect on Twitter link in footer TX-TC-21","","Mon Apr 28 15:52:10 UTC 2025","passed","Mon Apr 28 15:52:22 UTC 2025","","Test social links","",""
"","10258","Submitting pricing form with empty fields / TX-TC-14","","Mon Apr 28 15:51:37 UTC 2025","passed","Mon Apr 28 15:51:48 UTC 2025","","Messaging pricing form test","",""
"","4832","Submit form with invalid email / TX-TC-5","","Mon Apr 28 15:52:01 UTC 2025","passed","Mon Apr 28 15:52:06 UTC 2025","","Contact Us page tests","",""
"","2955","Submit form without Primary product interest / TX-TC-9","","Mon Apr 28 15:52:21 UTC 2025","passed","Mon Apr 28 15:52:24 UTC 2025","","Contact Us page tests","",""
"","4206","Submit form without ""How did you hear about Telnyx"" / TX-TC-8","","Mon Apr 28 15:52:17 UTC 2025","passed","Mon Apr 28 15:52:21 UTC 2025","","Contact Us page tests","",""
"","5712","Submit form without company website / TX-TC-6","","Mon Apr 28 15:52:06 UTC 2025","passed","Mon Apr 28 15:52:12 UTC 2025","","Contact Us page tests","",""
"","10146","Submitting pricing form with valid data / TX-TC-18","","Mon Apr 28 15:52:06 UTC 2025","passed","Mon Apr 28 15:52:17 UTC 2025","","Messaging pricing form test","",""
